# time_start: 2026-05-10 13:07:08
# time_stop:  2026-05-10 13:07:15
CH 0, CH 8, CH 9
51, 10099, 85972
55, 9917, 86032
52, 10067, 86042
48, 10179, 85988
46, 10174, 86037
55, 10114, 86035
55, 10196, 86027
58, 10289, 86059
49, 9977, 86008
52, 10257, 86040
35, 10016, 86030
45, 10078, 85997
29, 10222, 86007
11, 10250, 86008
30, 10185, 86032
39, 10090, 86042
44, 10126, 86015
38, 10210, 86010
32, 10237, 86039
10, 10227, 86009
15, 10271, 85999
19, 9984, 86096
27, 10105, 85968
40, 10040, 86035
33, 10062, 86017
32, 10225, 85992
11, 10217, 86008
10, 10204, 86061
12, 10155, 86048
32, 10311, 86025
42, 10247, 86021
35, 9878, 86010
36, 10371, 86016
29, 10173, 86044
16, 10050, 86035
17, 10224, 86019
12, 10082, 86029
24, 10227, 86016
28, 10171, 85997
44, 10078, 86064
40, 10211, 86060
24, 10098, 86000
19, 9989, 86039
3, 10176, 85992
15, 10075, 86056
42, 10368, 86060
41, 10264, 86035
39, 10214, 86004
28, 10129, 86037
13, 10199, 86041
22, 10222, 86057
15, 10198, 86055
12, 10336, 86039
21, 10026, 86034
43, 9902, 86036
41, 10134, 85998
25, 10321, 86017
18, 9905, 86008
17, 10175, 86006
20, 10128, 86004
21, 10183, 86015
31, 10109, 86022
36, 10116, 86023
25, 10115, 85978
16, 10215, 86057
13, 10155, 86045
16, 10105, 86038
30, 10009, 86061
39, 9990, 86032
46, 10321, 86018
33, 10152, 86008
23, 10110, 85995
16, 10192, 86013
16, 10109, 85993
16, 10180, 85988
6, 10319, 86063
21, 9865, 86032
35, 10185, 85982
36, 10260, 86009
35, 10213, 86006
40, 10224, 86070
25, 10261, 86012
16, 10177, 85959
17, 10121, 86005
1, 10297, 86040
31, 10242, 86007
42, 10295, 86030
42, 10086, 86045
42, 10135, 86004
38, 10111, 86035
23, 10101, 86028
18, 10154, 86039
31, 10345, 86041
15, 10224, 86011
16, 10079, 86038
18, 9965, 86012
23, 10125, 86021
24, 10064, 86046
27, 9963, 85990
41, 10032, 86032
31, 9989, 86017
24, 10056, 85996
21, 10001, 86021
15, 10000, 85977
16, 10022, 86019
12, 10207, 85984
30, 10135, 86009
34, 10268, 86000
35, 10283, 86050
34, 10079, 86062
24, 10159, 85992
10, 10200, 86019
14, 10146, 86020
19, 10049, 86019
29, 10106, 86020
43, 10378, 85981
41, 10165, 86018
24, 10211, 86006
20, 10108, 86056
16, 10397, 86056
15, 10162, 86018
15, 10028, 85995
36, 10118, 86044
37, 10137, 86006
36, 10198, 86024
43, 10061, 85992
28, 10097, 86048
17, 10192, 86054
11, 10150, 85991
23, 9972, 86019
15, 10420, 86038
7, 9952, 86010
34, 10089, 86024
46, 10260, 85999
31, 10204, 86000
12, 10211, 86049
19, 10050, 86013
17, 10355, 86039
10, 10188, 85999
34, 10052, 85980
42, 10054, 85992
44, 10248, 86029
31, 10099, 85997
25, 10102, 86046
15, 10181, 86007
17, 10202, 86017
19, 9964, 86024
15, 10299, 86041
30, 10406, 86063
38, 10146, 86039
39, 10379, 86042
22, 10286, 86059
14, 10145, 85987
8, 10004, 86060
26, 10185, 86042
22, 10123, 86000
39, 10355, 86021
39, 10271, 86036
34, 10094, 86032
14, 10278, 86021
17, 10231, 86008
15, 10108, 86039
18, 10196, 86037
27, 10210, 85997
36, 10005, 86028
46, 10277, 86020
25, 10089, 86010
11, 10114, 86041
17, 10210, 86003
18, 10147, 86020
29, 10160, 86021
43, 10290, 86016
46, 10105, 86032
34, 10086, 85996
16, 10427, 85988
28, 10076, 86010
27, 10080, 86033
27, 9871, 86025
18, 10000, 85952
9, 10197, 86049
20, 10143, 86025
24, 10020, 85996
22, 10027, 85968
36, 10200, 86049
40, 10172, 86026
33, 10240, 86002
15, 9991, 85997
20, 10098, 86007
18, 10227, 85988
18, 10197, 86018
21, 10124, 86052
30, 10109, 86022
41, 10178, 86032
29, 10259, 86016
25, 10154, 86028
25, 10006, 85981
16, 10264, 86001
14, 10252, 86021
22, 10285, 86038
32, 10175, 86073
48, 10138, 86042
36, 10039, 86011
20, 10084, 86029
8, 10231, 86008
18, 9900, 86024
13, 10048, 85988
31, 10043, 86007
36, 10115, 86031
37, 10134, 86030
28, 10135, 86006
7, 10266, 85983
13, 10000, 86104
15, 10188, 86037
33, 10105, 86058
37, 10141, 85996
39, 10044, 86005
27, 9933, 86060
28, 10411, 85993
16, 10213, 86011
22, 10014, 86053
19, 10158, 86013
19, 10144, 86013
30, 10226, 86040
39, 10381, 85979
34, 10168, 86003
23, 9951, 85991
14, 9944, 86013
14, 10229, 85994
22, 10176, 86025
28, 10146, 86033
40, 10172, 85997
45, 10156, 86019
27, 10111, 86005
17, 10126, 86011
13, 10346, 86072
13, 10195, 86025
13, 10024, 86024
26, 10246, 85968
40, 9930, 86047
42, 10277, 86021
22, 10188, 86054
17, 10062, 86000
6, 10234, 86002
21, 10126, 86039
23, 10159, 85994
42, 10038, 86053
35, 10242, 86035
37, 10217, 86028
22, 10127, 86032
13, 10098, 86024
24, 10041, 86037
18, 9979, 86053
22, 10143, 86000
36, 10148, 86035
43, 9905, 86035
33, 10131, 86050
13, 10134, 86000
32, 10004, 86035
35, 10069, 86040
33, 10137, 86024
36, 10282, 85987
36, 10281, 86001
19, 10133, 85983
24, 10258, 86021
16, 10129, 86048
21, 10086, 86047
28, 10156, 86008
42, 9941, 86040
38, 10177, 86034
33, 10111, 86028
15, 10080, 86046
22, 10103, 86063
19, 10173, 85992
4, 9934, 86030
27, 9870, 86026
36, 10301, 86031
44, 10296, 85995
32, 9931, 86015
16, 10214, 86067
13, 10125, 85983
28, 10242, 86019
24, 10179, 85978
6, 10324, 86020
28, 10222, 85971
47, 10211, 86081
24, 9989, 86005
28, 10018, 86047
34, 10097, 86001
22, 10080, 86003
14, 10138, 86041
0, 10288, 85986
26, 10078, 85995
35, 10095, 86003
39, 10047, 86043
