# time_start: 2026-05-10 13:06:02
# time_stop:  2026-05-10 13:06:03
CH 0, CH 8, CH 9
36, 10204, 85961
36, 10101, 85932
9, 10003, 85983
18, 10119, 85971
20, 10008, 85975
20, 10287, 86033
16, 10241, 86039
29, 10137, 85993
35, 10054, 85980
35, 10254, 85977
23, 10052, 86005
20, 10073, 85981
6, 10126, 85968
19, 9990, 85949
32, 10072, 86058
40, 10061, 85973
37, 9989, 86013
35, 10021, 85984
17, 10306, 85997
23, 10146, 85971
11, 10085, 85954
22, 10085, 86007
24, 10093, 85999
28, 10151, 85991
39, 10276, 85983
35, 10341, 86003
22, 10243, 85999
17, 10056, 86023
17, 10193, 85998
22, 10040, 85974
22, 10196, 86018
21, 10280, 85982
40, 10189, 86025
37, 10240, 85962
26, 10297, 85994
24, 10286, 86008
21, 10051, 86022
24, 10047, 85992
19, 10115, 85998
15, 10238, 85973
29, 10389, 86018
41, 10244, 85959
26, 9997, 85986
18, 10223, 85991
29, 10395, 85991
19, 10026, 85939
26, 10032, 85989
19, 10011, 85996
27, 10147, 85952
37, 10275, 85954
24, 10149, 86022
8, 10179, 85995
35, 10183, 85985
39, 10186, 85956
14, 9866, 85951
30, 10195, 85978
12, 10126, 86025
22, 9892, 85955
28, 9761, 85988
37, 10250, 85995
30, 10250, 86000
24, 10160, 85981
14, 10100, 85961
18, 10140, 85959
13, 10080, 85988
28, 10244, 85989
34, 10270, 85957
34, 10284, 86002
40, 10146, 86018
22, 10189, 85985
24, 10226, 86019
15, 10057, 85989
17, 10102, 86009
40, 10224, 86016
43, 10112, 85974
30, 10061, 86015
31, 10028, 85988
18, 10161, 86024
16, 10240, 86015
23, 10286, 85974
12, 10082, 85994
15, 10081, 85998
35, 10039, 86024
49, 10011, 85980
24, 10147, 85979
17, 10058, 86000
18, 10280, 85994
11, 10155, 85958
11, 10192, 86008
30, 9932, 85987
40, 10241, 85998
33, 10333, 85972
44, 10334, 86012
29, 10128, 86038
17, 10309, 86005
23, 10148, 86007
20, 10213, 86021
