# time_start: 2026-05-10 13:06:02
# time_stop:  2026-05-10 13:06:03
CH 0, CH 8, CH 9
13, 10332, 85931
28, 10190, 86028
50, 10102, 85987
33, 10162, 86004
13, 10213, 86036
1, 10004, 85987
20, 9935, 85997
9, 10248, 85963
35, 10187, 85993
39, 10034, 85989
37, 10234, 85999
40, 10053, 85911
28, 10238, 85989
17, 10096, 85987
18, 10444, 86009
13, 10313, 85973
25, 10346, 86025
42, 10095, 85970
25, 10133, 85997
17, 9933, 85929
9, 10193, 85987
25, 10209, 85953
41, 10016, 85971
32, 10048, 86004
39, 10162, 86024
27, 10256, 86019
30, 10196, 86000
22, 10157, 85978
14, 10376, 85979
18, 10074, 86021
13, 10055, 85969
28, 10262, 85997
45, 10216, 85983
41, 10240, 85977
25, 10157, 85962
26, 10105, 85980
20, 10221, 86028
17, 10200, 86019
14, 10152, 85955
16, 10081, 86022
26, 10171, 85975
38, 10284, 85976
46, 10035, 86047
30, 10109, 85985
12, 10178, 85972
16, 10071, 85998
28, 10034, 85976
33, 9978, 85965
25, 10320, 86026
16, 10122, 86018
13, 10233, 86038
10, 10169, 85999
27, 10191, 86048
38, 10071, 86038
42, 10086, 85965
30, 10263, 86019
20, 10269, 86014
16, 10510, 86006
24, 10068, 85951
12, 10265, 85986
24, 10035, 85988
37, 10235, 85956
42, 10119, 86014
34, 10274, 86023
20, 10140, 85972
16, 10136, 85977
24, 10127, 85946
17, 10138, 86022
10, 10122, 86017
30, 10261, 85999
37, 10182, 86023
38, 10166, 85983
36, 10050, 85975
30, 9925, 85960
34, 10134, 85995
23, 10193, 86020
14, 9994, 86027
15, 10153, 86018
14, 10243, 85986
14, 10080, 86044
31, 10132, 86019
35, 10104, 85966
35, 10270, 85983
27, 10122, 85982
13, 10134, 86020
10, 10089, 85974
22, 10154, 85976
28, 10222, 85955
41, 10214, 86009
42, 9981, 86006
32, 10042, 85989
12, 10090, 86010
17, 10295, 86003
23, 10057, 86026
18, 10056, 86007
33, 10263, 86006
44, 10275, 85986
31, 10227, 85966
12, 10196, 85994
20, 10054, 86010
27, 10135, 85992
28, 10224, 85951
18, 9933, 85986
25, 10159, 85976
27, 10147, 85994
20, 9991, 85958
23, 10183, 85988
23, 10101, 85989
36, 10181, 85997
39, 10171, 85978
22, 10126, 85973
11, 10095, 86020
22, 10207, 86006
11, 10031, 85955
27, 10070, 86003
45, 10117, 85986
46, 10137, 86012
26, 10237, 85990
16, 10090, 86010
27, 10267, 85987
7, 9938, 86002
20, 10357, 86027
26, 10163, 85971
40, 10035, 86008
18, 10299, 86037
33, 10123, 86002
23, 10109, 85986
7, 10196, 85989
25, 10270, 85967
37, 10014, 86006
35, 10086, 85963
19, 10363, 85988
25, 10073, 85980
27, 10194, 85953
18, 10261, 85981
32, 10152, 86009
21, 10106, 85985
13, 10364, 85971
31, 10210, 85962
41, 10294, 86018
28, 10038, 86001
20, 10208, 86017
18, 10239, 86000
26, 10175, 85982
22, 10431, 85961
32, 10307, 86009
47, 10192, 85995
37, 10067, 86010
18, 10249, 85933
19, 10290, 86018
21, 10208, 85971
12, 10173, 86013
17, 10317, 85996
26, 10093, 85966
37, 10190, 85963
40, 10225, 85988
31, 9940, 85994
19, 10060, 85981
31, 10048, 86012
18, 10075, 86019
32, 10243, 85989
40, 10312, 86009
33, 10129, 85998
10, 10303, 85958
20, 10265, 86013
27, 10047, 85981
21, 10302, 85962
17, 10052, 86063
28, 10107, 85975
36, 10237, 85982
32, 10027, 85971
12, 10230, 85965
12, 10208, 85950
16, 10039, 85975
25, 10008, 86038
34, 10131, 85972
39, 10176, 85992
46, 10201, 85966
34, 10280, 86004
28, 10115, 85975
22, 10261, 86005
19, 9958, 85999
22, 10173, 86002
23, 10194, 85974
11, 10208, 85981
22, 10251, 85988
26, 10206, 85986
37, 10211, 86010
39, 10154, 85985
20, 9993, 86029
14, 9122, 85983
16, -4096, 85993
18, 5095, 85958
37, 6991, 85965
39, 10114, 85916
25, 11038, 85959
18, 9677, 85926
26, 8958, 85934
14, 9038, 85957
19, 9133, 85871
37, 9659, 85924
38, 10013, 85988
28, 10140, 86013
21, 10136, 85886
12, 9840, 85914
18, 9972, 85915
19, 10046, 85921
37, 9944, 85933
41, 9983, 85923
33, 9536, 85898
17, 9737, 85923
16, 10059, 85882
11, 10354, 85921
25, 10626, 85907
26, 9926, 85925
41, 9409, 85891
45, 9905, 85963
29, 9949, 85924
14, 10273, 85930
17, 10166, 85932
16, 9827, 85917
18, 10264, 85929
31, 9897, 85908
46, 10769, 85912
31, 10214, 85925
19, 9514, 85967
19, 9974, 85912
16, 9972, 85922
19, 10142, 85932
30, 10347, 85892
38, 9839, 85915
22, 49084, 85970
20, 17586, 86001
18, 13169, 85955
10, 9923, 86005
30, 7418, 85994
43, 9434, 85985
42, 11051, 85975
29, 11134, 86000
15, 11397, 86021
11, 10267, 85945
21, 10321, 85991
19, 10301, 85954
28, 10067, 85979
48, 10279, 86005
43, 10459, 85985
31, 10108, 86001
16, 10438, 85966
22, 10240, 85985
30, 10024, 86034
8, 10292, 85988
16, 10006, 85978
33, 10122, 86023
28, 10189, 85984
27, 10193, 85988
28, 10571, 85984
19, 10188, 85977
12, 10030, 85986
20, 10051, 85979
29, 10192, 85987
43, 10095, 86007
48, 10131, 86009
29, 10167, 86011
20, 10283, 85971
9, 10041, 86019
24, 10118, 85996
14, 10044, 85989
29, 9965, 85948
39, 10022, 85959
39, 10289, 85972
14, 9917, 85982
17, 10177, 86001
25, 10284, 86011
19, 10063, 86036
20, 10159, 85968
25, 10221, 86016
40, 10212, 86014
27, 10544, 85951
21, 10408, 85959
22, 10314, 86025
22, 10192, 86010
21, 10223, 86008
21, 10047, 85953
28, 10272, 86002
35, 10366, 85983
26, 10086, 85999
12, 10075, 85942
12, 10081, 85986
26, 10015, 85995
49, 10146, 85987
44, 10225, 85999
41, 10042, 85983
19, 10232, 85961
16, 10194, 86009
17, 10111, 86004
14, 10092, 86032
19, 10169, 85986
25, 10094, 86058
40, 10264, 85976
31, 10106, 85984
16, 10138, 86009
17, 10238, 86029
19, 10090, 85945
21, 10141, 85990
33, 10187, 85967
44, 10028, 85970
23, 10435, 85971
26, 10112, 86030
19, 10009, 85966
17, 10190, 85980
17, 10009, 86001
35, 10251, 86004
45, 9485, 85960
31, 2904, 85986
16, 7183, 85938
20, 7174, 85991
19, 9382, 85986
18, 10026, 85965
27, 9688, 85979
40, 9098, 85978
38, 9529, 85944
14, 9279, 86008
16, 9930, 85953
22, 9873, 85973
19, 9950, 85985
20, 10021, 86018
33, 10093, 85981
44, 9814, 85987
30, 9816, 85939
12, 9974, 85959
15, 9867, 85950
30, 10129, 85951
15, 10196, 85963
27, 10046, 85994
34, 9833, 85936
40, 10205, 85999
29, 10192, 85969
18, 9953, 85972
25, 10118, 85937
12, 10154, 85950
16, 10111, 85989
29, 10189, 85978
43, 10139, 85957
41, 10184, 85920
18, 10156, 85940
18, 10080, 85976
16, 9967, 85958
16, 10176, 85996
11, 10053, 85940
27, 10118, 85934
40, 10099, 85957
36, 10234, 85955
36, 9983, 86004
27, 10039, 86024
15, 10119, 85984
26, 10134, 85945
19, 10084, 85920
12, 10070, 85969
29, 9801, 85929
50, 10484, 85998
29, 9980, 85969
23, 9906, 85995
21, 10105, 85917
26, 9749, 85950
23, 10119, 85988
25, 10079, 85964
20, 10001, 86002
899, 10178, 85971
3340, 10151, 85954
4974, 10057, 85973
6085, 10257, 85972
6741, 9892, 86001
7066, 9993, 85958
7072, 10246, 85987
6899, 9906, 85931
6835, 10033, 85967
6907, 10291, 85984
7048, 10104, 85969
7216, 10351, 85961
7436, 10131, 85969
7604, 10275, 85940
7729, 9981, 85961
7805, 9793, 85963
7871, 10134, 85933
7888, 10193, 86011
7890, 10181, 85966
7888, 10158, 85955
7920, 10235, 85978
7986, 10118, 85991
8023, 10037, 86022
8033, 10280, 85924
8040, 10315, 85952
8039, 9774, 85992
8039, 10298, 85935
8053, 9886, 85976
8088, 10076, 85931
8137, 10194, 85986
8168, 9927, 85971
8175, 10060, 85992
8170, 9968, 85969
8138, 9899, 85955
8088, 9975, 85920
8060, 10132, 85948
8091, 10179, 85983
8148, 9969, 85955
8175, 10272, 85975
8180, 10036, 85947
8184, 9837, 85940
8169, 10149, 86013
8122, 10117, 85980
8096, 10027, 86014
8107, 10300, 85926
8143, 9836, 85935
8172, 9886, 85954
8172, 10110, 85906
8185, 10066, 85996
8157, 10216, 85962
8094, 10084, 85952
8065, 9969, 85947
8097, 9738, 85961
8140, 9906, 85947
8177, 10147, 85966
8168, 10086, 85950
8167, 9940, 85985
8178, 9831, 85953
8161, 10009, 85997
8135, 10156, 85946
8131, 10096, 85982
6686, 10092, 85936
3148, 10039, 85963
1516, 10006, 85972
782, 10026, 85980
532, 9960, 85991
580, 10143, 85926
806, 10004, 85915
1038, 9907, 86015
1087, 9983, 85948
1070, 9946, 85980
937, 10143, 85962
758, 10155, 85971
617, 9949, 85992
526, 10007, 86008
489, 9705, 85971
473, 9917, 85989
457, 10099, 85941
444, 10117, 85995
436, 10112, 85954
414, 10073, 85960
398, 9905, 85938
381, 9806, 85928
370, 10030, 85937
353, 10123, 86002
335, 9964, 85949
329, 9989, 85952
319, 9938, 85969
303, 10190, 85957
300, 9851, 85944
286, 9949, 85954
271, 9882, 85963
255, 10068, 85997
255, 9959, 85921
236, 10080, 85955
227, 9915, 85977
224, 9966, 85974
213, 10159, 85974
199, 9957, 85935
191, 10017, 86031
191, 9807, 85947
190, 9922, 86023
179, 10222, 85959
161, 9843, 85928
157, 10081, 86005
151, 9979, 85933
155, 9773, 85989
151, 10133, 85936
143, 9854, 85974
124, 9947, 85961
113, 9996, 85938
126, 10225, 85971
119, 9830, 85983
117, 10080, 85977
115, 9992, 85958
115, 10094, 85953
122, 9851, 85997
109, 10096, 85957
101, 9794, 85947
100, 10010, 85991
97, 10167, 85965
95, 10142, 85948
96, 10080, 85928
94, 9922, 85926
99, 9925, 85937
94, 10183, 85948
96, 9754, 85983
96, 10136, 85989
83, 9807, 85987
66, 9855, 85972
58, 9877, 86018
58, 10032, 85988
54, 10407, 85999
60, 10108, 85993
52, 9644, 85976
54, 9937, 85934
53, 9613, 85935
61, 10073, 85988
61, 10288, 85965
53, 10080, 85980
56, 9887, 86030
50, 9744, 85996
54, 9824, 85905
50, 10063, 85962
50, 10259, 85962
53, 10024, 85959
51, 9997, 85969
48, 10101, 85993
52, 9347, 85965
49, 9997, 85999
51, 10089, 85999
49, 10184, 85972
50, 10056, 85977
52, 9954, 85930
48, 9887, 85972
42, 9790, 85956
44, 9902, 85998
38, 10115, 85987
38, 10128, 85953
31, 9886, 85985
13, 9875, 85969
29, 9536, 85922
44, 9956, 85959
31, 9935, 85938
16, 10005, 85953
24, 10093, 85926
23, 9889, 85940
17, 9970, 85981
35, 9520, 85897
45, 10068, 85993
28, 10129, 85924
15, 9883, 85949
14, 9953, 85970
19, 9830, 85928
29, 9587, 85970
47, 10023, 85977
37, , 
34, , 
17, , 
15, , 
20, , 
14, , 
33, , 
506, , 
1607, , 
2390, , 
3034, , 
3484, , 
3797, , 
3946, , 
3989, , 
4015, , 
4069, , 
4165, , 
4284, , 
4380, , 
4463, , 
4558, , 
4616, , 
4709, , 
4734, , 
4739, , 
4742, , 
4739, , 
4742, , 
4764, , 
4823, , 
4868, , 
4880, , 
4884, , 
4879, , 
4881, , 
4887, , 
4880, , 
4882, , 
4885, , 
4885, , 
4882, , 
4885, , 
4884, , 
4886, , 
4883, , 
4883, , 
4883, , 
4883, , 
4883, , 
4883, , 
4881, , 
4884, , 
4883, , 
4885, , 
4883, , 
4883, , 
4883, , 
4883, , 
4883, , 
4884, , 
4886, , 
4883, , 
4885, , 
4885, , 
4883, , 
4883, , 
4884, , 
4884, , 
4883, , 
4884, , 
4885, , 
4885, , 
4883, , 
4884, , 
4896, , 
4918, , 
4915, , 
4894, , 
4884, , 
4887, , 
4883, , 
4881, , 
4892, , 
4920, , 
4925, , 
4930, , 
4920, , 
4894, , 
4887, , 
4883, , 
4884, , 
4884, , 
4883, , 
4892, , 
4917, , 
4925, , 
4924, , 
4893, , 
4886, , 
4885, , 
4883, , 
4881, , 
4896, , 
4919, , 
4916, , 
4892, , 
4885, , 
4882, , 
4885, , 
4881, , 
4892, , 
4918, , 
4923, , 
4929, , 
4916, , 
4892, , 
4884, , 
4883, , 
4881, , 
4881, , 
4895, , 
4919, , 
4923, , 
4920, , 
4893, , 
4883, , 
4884, , 
4883, , 
4892, , 
4918, , 
4930, , 
4918, , 
4894, , 
4883, , 
4882, , 
4884, , 
4883, , 
4892, , 
4920, , 
4927, , 
4920, , 
4894, , 
4883, , 
4885, , 
4883, , 
4886, , 
4883, , 
4892, , 
4920, , 
4922, , 
4916, , 
4893, , 
4886, , 
4882, , 
4882, , 
4884, , 
4895, , 
4918, , 
4927, , 
4918, , 
4892, , 
4885, , 
4883, , 
4884, , 
4880, , 
4893, , 
4916, , 
4927, , 
4919, , 
4891, , 
4887, , 
4883, , 
4881, , 
4882, , 
4893, , 
4919, , 
4927, , 
4919, , 
4894, , 
4886, , 
4883, , 
4882, , 
4883, , 
4895, , 
4919, , 
4927, , 
4917, , 
4891, , 
4884, , 
4886, , 
4885, , 
4883, , 
4891, , 
4917, , 
4926, , 
4916, , 
4892, , 
4884, , 
4884, , 
4884, , 
4885, , 
4892, , 
4921, , 
4927, , 
4920, , 
4895, , 
4882, , 
4885, , 
4883, , 
4879, , 
4893, , 
4921, , 
4925, , 
4916, , 
4890, , 
4885, , 
4884, , 
4886, , 
4884, , 
4890, , 
4918, , 
4927, , 
4918, , 
4890, , 
4884, , 
4884, , 
4883, , 
4880, , 
4894, , 
4919, , 
4929, , 
4916, , 
4891, , 
4884, , 
4883, , 
4882, , 
4882, , 
4895, , 
4918, , 
4928, , 
4918, , 
4895, , 
4885, , 
4886, , 
4883, , 
4883, , 
4895, , 
4918, , 
4923, , 
4918, , 
4891, , 
4887, , 
4885, , 
4882, , 
4883, , 
