#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B5DA1C
#Date Time: 2026-02-04 15:56:18.474
#Sample rate: 136.533Hz
#Samples: 8000
#Trigger: Source: Channel 2 Type: Edge Condition: Falling Level: -50 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 4.5 mV/div Offset: -22.5 mV Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.3003071761405636,0.003457413923611243,0.0006253177753778347
-0.2929829361405609,0.003457413923611243,0.0006253177753778347
-0.2856586961405618,0.003457413923611243,0.0006253177753778347
-0.2783344561405627,0.003457413923611243,0.0006253177753778347
-0.2710102161405636,0.003457413923611243,0.0006253177753778347
-0.263685976140561,0.003457413923611243,0.0006253177753778347
-0.2563617361405619,0.003457413923611243,0.0006253177753778347
-0.2490374961405628,0.003457413923611243,0.0006253177753778347
-0.2417132561405637,0.003457413923611243,0.0006253177753778347
-0.2343890161405611,0.003457413923611243,0.0006253177753778347
-0.227064776140562,0.003457413923611243,0.0006253177753778347
-0.2197405361405629,0.003457413923611243,0.0006253177753778347
-0.2124162961405638,0.003457413923611243,0.0006253177753778347
-0.2050920561405611,0.003457413923611243,0.0006253177753778347
-0.197767816140562,0.003457413923611243,0.0006253177753778347
-0.190443576140563,0.003457413923611243,0.0006253177753778347
-0.1831193361405639,0.003457413923611243,0.0006253177753778347
-0.1757950961405612,0.003457413923611243,0.0006253177753778347
-0.1684708561405621,0.003457413923611243,0.0006253177753778347
-0.161146616140563,0.003457413923611243,0.0006253177753778347
-0.1538223761405639,0.003457413923611243,0.0006253177753778347
-0.1464981361405613,0.003457413923611243,0.0006253177753778347
-0.1391738961405622,0.003457413923611243,0.0006253177753778347
-0.1318496561405631,0.003457413923611243,0.0006253177753778347
-0.124525416140564,0.003457413923611243,0.0006253177753778347
-0.1172011761405614,0.003457413923611243,0.0006253177753778347
-0.1098769361405623,0.003457413923611243,0.0006253177753778347
-0.1025526961405632,0.003457413923611243,0.0006253177753778347
-0.09522845614056408,0.003457413923611243,0.0006253177753778347
-0.08790421614056143,0.003457413923611243,0.0006253177753778347
-0.08057997614056234,0.003457413923611243,0.0006253177753778347
-0.07325573614056324,0.003457413923611243,0.0006253177753778347
-0.06593149614056415,0.003457413923611243,0.0006253177753778347
-0.0586072561405615,0.003457413923611243,0.0006253177753778347
-0.05128301614056241,0.003457413923611243,0.0006253177753778347
-0.04395877614056332,0.003457413923611243,0.0006253177753778347
-0.03663453614056422,0.003457413923611243,0.0006253177753778347
-0.02931029614056158,0.003457413923611243,0.0006253177753778347
-0.02198605614056248,0.003457413923611243,0.0006253177753778347
-0.01466181614056339,0.003457413923611243,0.0006253177753778347
-0.007337576140564295,0.003457413923611243,0.0006253177753778347
-1.333614056164834e-05,0.003457413923611243,0.0006253177753778347
0.007310903859437445,0.00380053117072229,0.0006253177753778347
0.01463514385943654,0.003457413923611243,0.0006253177753778347
0.02195938385943919,0.003457413923611243,0.0006253177753778347
0.02928362385943828,0.003457413923611243,0.0006253177753778347
0.03660786385943737,0.003457413923611243,0.0006253177753778347
0.04393210385943647,0.003457413923611243,0.0006253177753778347
0.05125634385943911,0.003457413923611243,0.0006253177753778347
0.05858058385943821,0.003457413923611243,0.0006253177753778347
0.0659048238594373,0.003457413923611243,0.0006253177753778347
0.07322906385943639,0.003457413923611243,0.0006253177753778347
0.08055330385943904,0.003457413923611243,0.0006253177753778347
0.08787754385943813,0.003457413923611243,0.0006253177753778347
0.09520178385943723,0.003457413923611243,0.0006253177753778347
0.1025260238594363,0.003457413923611243,0.0006253177753778347
0.109850263859439,0.003457413923611243,0.0006253177753778347
0.1171745038594381,0.003457413923611243,0.0006253177753778347
0.1244987438594372,0.003457413923611243,0.0006253177753778347
0.1318229838594362,0.003457413923611243,0.0006253177753778347
0.1391472238594389,0.003457413923611243,0.0006253177753778347
0.146471463859438,0.003457413923611243,0.0006253177753778347
0.1537957038594371,0.003457413923611243,0.0006253177753778347
0.1611199438594362,0.003457413923611243,0.0006253177753778347
0.1684441838594388,0.003457413923611243,0.0006253177753778347
0.1757684238594379,0.003457413923611243,0.0006253177753778347
0.183092663859437,0.003457413923611243,0.0006253177753778347
0.1904169038594361,0.003457413923611243,0.0006253177753778347
0.1977411438594388,0.003457413923611243,0.0006253177753778347
0.2050653838594378,0.003457413923611243,0.0006253177753778347
0.2123896238594369,0.003457413923611243,0.0006253177753778347
0.219713863859436,0.003457413923611243,0.0006253177753778347
0.2270381038594387,0.003457413923611243,0.0006253177753778347
0.2343623438594378,0.003457413923611243,0.0006253177753778347
0.2416865838594369,0.003457413923611243,0.0006253177753778347
0.249010823859436,0.003457413923611243,0.0006253177753778347
0.2563350638594386,0.003457413923611243,0.000286655273936582
0.2636593038594377,0.003457413923611243,0.0006253177753778347
0.2709835438594368,0.003457413923611243,0.0006253177753778347
0.2783077838594359,0.003457413923611243,0.0006253177753778347
0.2856320238594385,0.003457413923611243,0.0006253177753778347
0.2929562638594376,0.003457413923611243,0.0006253177753778347
0.3002805038594367,0.003457413923611243,0.0006253177753778347
0.3076047438594358,0.003457413923611243,0.0006253177753778347
0.3149289838594385,0.003457413923611243,0.000286655273936582
0.3222532238594376,0.003457413923611243,0.000286655273936582
0.3295774638594366,0.003457413923611243,0.0006253177753778347
0.3369017038594357,0.003457413923611243,0.0006253177753778347
0.3442259438594384,0.003457413923611243,0.0006253177753778347
